Purchase Year,Purchase Recency,Ticket Subject,Ticket Type,Customer Gender,Response Duration (hrs),Duration Bucket,Ticket Channel
1.0,-1.0134527041760542,15,1,2,-0.6876557402570491,2,0
0.0,0.9867258687843836,8,4,0,0.4382837175086322,3,1
0.0,0.9867258687843836,8,1,0,-0.3739264795793049,3,0
1.0,-1.0134527041760542,5,3,1,-0.7312292486845134,2,0
1.0,-1.0134527041760542,7,3,2,0.2448173400906901,3,1
0.0,0.9867258687843836,12,1,1,0.3075631922262389,3,1
0.0,0.9867258687843836,2,3,0,-0.4331864510406567,3,0
0.0,0.9867258687843836,3,4,0,1.8814383166262547,5,3
1.0,-1.0134527041760542,7,2,1,-1.2122807817237211,2,1
1.0,-1.0134527041760542,12,2,2,1.2330645112255836,4,0
0.0,0.9867258687843836,2,0,1,2.0139017822457466,5,3
1.0,-1.0134527041760542,3,4,1,-1.0362438076767648,2,3
0.0,0.9867258687843836,15,1,2,-0.0567113382273638,3,0
1.0,-1.0134527041760542,13,0,1,-0.7730598167748793,2,2
1.0,-1.0134527041760542,7,0,1,0.5062583906554767,3,0
0.0,0.9867258687843836,10,1,1,0.6718377226798417,4,0
1.0,-1.0134527041760542,6,2,2,2.2160828613491814,5,3
1.0,-1.0134527041760542,8,0,0,-0.506389945198797,2,0
1.0,-1.0134527041760542,14,1,1,-0.638853410818289,2,2
0.0,0.9867258687843836,4,4,2,0.5149730923409697,4,0
1.0,-1.0134527041760542,8,4,0,-1.2558542901511855,2,1
0.0,0.9867258687843836,1,2,1,-0.1456012954193913,3,0
1.0,-1.0134527041760542,7,1,0,0.9611658186382056,4,1
1.0,-1.0134527041760542,10,0,1,-0.6684833965489647,2,0
1.0,-1.0134527041760542,8,3,1,1.8570371519068745,5,3
0.0,0.9867258687843836,5,3,2,-1.5695835508289295,1,3
1.0,-1.0134527041760542,4,4,1,-0.3111806274437562,3,3
0.0,0.9867258687843836,5,2,1,-0.3652117778938121,3,3
0.0,0.9867258687843836,8,0,1,0.6003771688588,4,2
0.0,0.9867258687843836,12,2,2,-0.0776266222725468,3,0
0.0,0.9867258687843836,15,2,2,0.8339311740300095,4,0
0.0,0.9867258687843836,10,3,0,0.488828987284491,3,1
0.0,0.9867258687843836,4,4,0,-0.1246860113742084,3,2
1.0,-1.0134527041760542,13,1,2,-0.3826411812647979,3,3
0.0,0.9867258687843836,10,2,1,0.1175826954824939,3,2
0.0,0.9867258687843836,3,1,0,0.5393742570603497,4,0
1.0,-1.0134527041760542,14,3,1,-0.7922321604829637,2,2
0.0,0.9867258687843836,1,3,2,0.2151873543600142,3,2
1.0,-1.0134527041760542,15,4,2,-0.1630306987903771,3,0
0.0,0.9867258687843836,9,1,2,-1.8449681240905047,1,3
1.0,-1.0134527041760542,2,3,0,0.5184589730151669,4,1
0.0,0.9867258687843836,6,0,0,0.2291308770568029,3,2
