Customer Age,Customer Gender,Product Purchased,Ticket Type,Ticket Subject,Ticket Status,Ticket Priority,Ticket Channel,Customer Satisfaction Rating,Purchase Year,Purchase Month,Response Duration (hrs)
48,2,10,4,8,0,2,3,3,2020,7,6.85
27,0,25,0,0,0,2,3,3,2020,11,-5.533333333333333
67,0,5,0,3,0,2,1,1,2020,2,19.683333333333334
48,1,30,1,3,0,1,2,1,2021,1,-17.916666666666668
51,1,27,2,15,0,1,0,1,2021,10,-2.6333333333333333
48,0,38,0,13,0,1,0,4,2020,2,-7.233333333333333
63,2,40,2,0,0,0,0,4,2021,10,-3.8
39,0,9,3,15,0,2,0,5,2021,3,19.716666666666665
30,2,12,4,12,0,0,2,5,2020,6,6.766666666666667
67,1,40,1,2,0,3,2,1,2020,12,17.483333333333334
60,1,15,4,11,0,3,3,3,2021,12,0.5666666666666667
50,1,5,3,6,0,0,3,5,2021,12,16.4
24,2,16,1,12,0,1,0,1,2020,10,-7.7
19,1,18,4,0,0,0,2,3,2021,9,-20.866666666666667
35,1,10,0,11,0,0,0,3,2021,6,-5.7
34,2,19,3,11,0,0,1,2,2021,9,-2.65
50,0,31,3,8,0,1,2,1,2020,10,5.683333333333334
27,0,16,4,15,0,3,3,1,2020,7,-1.2833333333333334
64,1,21,3,15,0,3,0,3,2020,11,-5.833333333333333
54,1,28,3,8,0,1,3,3,2021,10,19.083333333333332
37,1,19,1,4,0,2,0,4,2021,8,9.766666666666667
27,1,5,4,12,0,3,2,5,2020,7,-7.183333333333334
40,2,3,2,2,0,3,0,3,2021,9,-19.2
40,1,37,1,13,0,3,0,1,2020,11,11.616666666666667
64,0,40,0,9,0,1,1,4,2020,12,13.066666666666666
49,0,16,0,11,0,1,1,5,2021,8,5.183333333333334
46,0,8,3,14,0,1,0,1,2020,2,-13.1
34,0,11,0,5,0,2,0,4,2021,2,-1.3
36,2,12,1,9,0,0,3,3,2020,11,-19.116666666666667
37,2,34,2,5,0,0,0,1,2021,1,-12.216666666666667
63,0,12,0,4,0,2,1,5,2020,12,-3.9166666666666665
24,1,33,3,15,0,2,3,1,2021,10,14.916666666666666
46,1,38,4,12,0,0,2,2,2020,1,-11.666666666666666
40,1,39,2,12,0,3,1,5,2020,1,3.8666666666666667
60,1,5,2,1,0,1,0,5,2021,10,18.516666666666666
38,1,35,0,14,0,1,0,5,2020,9,7.666666666666667
40,0,4,3,1,0,0,1,3,2021,1,12.266666666666667
42,0,30,1,7,0,2,1,2,2021,5,9.133333333333333
33,1,11,4,13,0,0,0,4,2020,1,5.333333333333333
60,0,1,1,10,0,1,1,2,2021,7,9.483333333333333
27,2,25,1,9,0,1,1,1,2021,11,-5.0
28,0,37,1,1,0,1,1,1,2020,9,-4.383333333333334
20,0,41,1,15,0,1,1,5,2021,11,-0.75
18,1,17,0,13,0,3,2,5,2020,2,4.033333333333333
41,0,12,0,15,0,2,2,2,2021,7,10.45
49,1,0,1,6,0,3,1,3,2021,4,2.283333333333333
43,1,4,0,12,0,3,1,2,2020,2,-6.466666666666667
50,1,30,3,14,0,0,2,5,2021,6,-18.35
66,1,33,1,13,0,0,1,2,2020,5,-6.55
21,2,1,4,8,0,2,0,4,2021,12,-0.8
58,1,0,2,11,0,0,0,2,2021,2,7.1
47,1,22,1,13,0,0,1,1,2021,5,-4.083333333333333
31,2,38,4,15,0,1,0,2,2020,4,-16.133333333333333
22,0,3,0,11,0,2,3,3,2020,10,-14.283333333333333
40,2,22,3,7,0,1,0,1,2021,10,5.166666666666667
64,0,32,4,10,0,0,1,3,2021,3,3.466666666666667
29,0,18,3,12,0,0,1,4,2020,10,-8.7
29,0,19,3,13,0,1,2,3,2020,1,12.65
30,1,7,3,9,0,0,2,1,2021,10,-11.016666666666667
34,1,25,1,12,0,3,2,3,2020,11,-10.216666666666667
24,1,19,0,13,0,2,3,5,2021,5,1.7833333333333334
32,0,40,3,1,0,3,1,3,2020,4,2.9
41,1,14,4,4,0,3,0,3,2020,1,-6.366666666666666
30,1,39,2,8,0,3,2,1,2020,8,-3.1
44,0,25,0,13,0,2,3,4,2021,12,2.9
42,2,33,4,4,0,3,1,4,2021,10,-5.85
33,0,36,2,4,0,1,0,4,2021,4,5.083333333333333
32,0,18,0,8,0,3,2,4,2020,3,4.216666666666667
37,2,34,3,11,0,1,2,1,2021,1,-8.433333333333334
58,2,16,2,0,0,3,2,1,2021,10,-22.7
57,1,36,0,9,0,3,3,2,2021,6,7.683333333333334
30,1,24,3,4,0,1,0,3,2021,1,-4.3
60,0,1,1,13,0,0,0,5,2021,7,18.283333333333335
66,2,9,2,15,0,3,0,5,2020,9,7.916666666666667
43,0,17,1,15,0,1,2,3,2020,6,0.05
55,1,39,3,4,0,3,2,1,2020,11,-2.6333333333333333
62,2,31,4,4,0,2,0,1,2020,2,-1.6666666666666667
65,0,9,4,14,0,0,3,2,2021,9,1.0833333333333333
70,0,39,0,7,0,3,3,5,2021,3,-8.133333333333333
35,0,33,4,12,0,1,0,4,2020,3,-14.483333333333333
53,0,3,0,12,0,1,2,4,2021,1,17.366666666666667
66,1,27,4,6,0,0,3,2,2021,2,2.5
40,1,41,3,14,0,0,2,3,2021,1,-7.633333333333334
31,1,39,2,10,0,1,3,4,2021,9,7.783333333333333
66,1,32,4,4,0,2,3,5,2021,7,-3.033333333333333
55,1,41,0,11,0,2,3,2,2021,10,13.65
35,1,38,3,11,0,1,0,3,2021,9,-0.6
19,0,34,4,13,0,0,2,2,2021,7,4.816666666666666
33,1,33,0,1,0,2,3,5,2021,8,5.533333333333333
48,1,26,2,6,0,3,0,2,2021,12,-5.6
46,2,39,3,2,0,0,3,3,2021,6,-11.95
29,1,20,1,11,0,3,0,2,2020,4,-4.05
64,2,24,3,6,0,1,3,3,2021,5,8.8
63,1,40,0,3,0,0,2,1,2021,1,-0.65
39,0,5,0,14,0,3,0,4,2020,2,-6.183333333333334
21,2,3,4,15,0,2,3,5,2021,6,-1.6166666666666667
33,1,7,2,14,0,0,0,2,2021,5,1.7833333333333334
35,0,32,0,11,0,1,1,2,2021,12,4.3
58,0,32,2,2,0,0,2,3,2020,9,-1.5666666666666667
26,0,27,0,7,0,3,3,5,2021,4,-3.0166666666666666
24,1,3,1,2,0,0,2,2,2020,9,13.433333333333334
44,1,2,2,10,0,3,2,1,2020,1,1.0666666666666667
53,0,2,1,15,0,3,0,5,2021,3,8.933333333333334
32,0,15,3,10,0,2,3,2,2021,7,3.05
53,1,31,4,10,0,1,3,2,2020,9,-9.033333333333333
46,0,6,3,13,0,0,0,2,2020,7,2.0
46,0,27,4,1,0,3,1,1,2020,6,1.2666666666666666
30,0,16,1,9,0,1,1,2,2021,1,-0.2833333333333333
18,1,3,4,2,0,2,0,4,2020,5,-7.65
27,2,28,1,15,0,3,1,4,2021,8,-7.633333333333334
70,1,8,3,1,0,0,3,3,2021,11,-6.866666666666666
52,0,26,3,6,0,2,2,4,2020,1,10.783333333333333
45,0,16,3,12,0,3,0,5,2021,10,5.516666666666667
21,1,13,4,4,0,3,3,2,2020,4,1.75
41,2,31,4,7,0,3,2,2,2021,2,-10.883333333333333
45,1,41,4,11,0,0,3,3,2021,2,7.966666666666667
33,1,34,2,3,0,2,1,1,2020,2,-4.633333333333334
21,1,38,1,2,0,2,0,5,2021,1,5.516666666666667
52,2,19,4,8,0,1,2,3,2021,5,12.016666666666667
54,1,14,4,9,0,1,3,5,2021,4,-8.716666666666667
28,0,20,0,1,0,0,1,3,2020,7,17.916666666666668
70,2,14,1,11,0,0,3,2,2021,10,9.7
47,1,7,3,7,0,1,1,2,2020,12,-5.466666666666667
52,1,28,1,14,0,0,0,4,2021,12,-14.416666666666666
38,1,41,4,2,0,1,0,2,2021,10,19.616666666666667
42,1,31,1,8,0,3,1,5,2020,2,2.3333333333333335
50,2,6,2,11,0,3,0,4,2020,12,2.1166666666666667
33,1,15,1,9,0,1,0,1,2021,9,5.116666666666666
22,1,6,0,10,0,3,3,3,2020,2,-4.266666666666667
24,1,34,3,0,0,3,1,2,2020,10,-14.766666666666667
39,2,2,1,1,0,3,1,1,2021,2,0.65
32,1,15,3,1,0,3,3,5,2021,11,6.266666666666667
24,2,16,4,2,0,0,2,1,2021,6,0.8333333333333334
30,0,23,2,14,0,2,2,1,2021,8,0.35
42,2,30,3,3,0,3,1,4,2020,7,-20.216666666666665
37,0,16,2,10,0,2,1,5,2020,5,6.016666666666667
62,1,38,2,14,0,1,1,4,2021,9,-2.716666666666667
37,2,37,3,5,0,1,3,3,2020,12,4.683333333333334
49,0,17,4,15,0,3,0,4,2020,10,-4.283333333333333
52,1,41,1,6,0,0,1,2,2021,7,-18.066666666666666
22,0,0,0,3,0,1,0,4,2020,12,1.1833333333333333
19,2,7,4,5,0,1,2,4,2021,7,12.45
43,0,26,2,14,0,0,0,1,2020,2,-4.183333333333334
21,0,15,4,4,0,2,2,2,2020,12,10.6
51,0,37,1,2,0,3,3,3,2021,6,-1.5333333333333334
67,2,17,0,7,0,2,2,1,2021,11,-4.133333333333334
69,1,4,1,1,0,0,3,2,2021,8,4.433333333333334
49,0,11,2,11,0,0,1,2,2020,3,-14.25
19,1,2,3,6,0,2,2,4,2021,5,1.8666666666666667
47,0,14,4,15,0,2,0,2,2020,6,22.35
35,1,32,3,6,0,1,2,3,2020,4,-10.75
64,1,37,3,3,0,2,0,1,2021,2,1.2833333333333334
69,0,9,1,13,0,0,3,4,2021,4,6.116666666666666
57,2,24,2,4,0,3,3,2,2021,5,-0.16666666666666666
55,2,20,1,8,0,2,1,2,2021,10,-0.4
39,1,2,4,3,0,3,0,2,2020,5,-12.8
36,1,8,3,4,0,3,2,3,2021,4,6.816666666666666
56,0,17,4,5,0,3,2,1,2020,11,-2.65
47,2,8,3,15,0,0,0,1,2020,2,-15.2
21,0,29,0,0,0,1,3,1,2021,4,-15.916666666666666
28,1,13,3,2,0,2,3,5,2021,3,2.4
58,1,1,3,4,0,2,1,5,2020,7,-9.833333333333334
40,0,33,2,9,0,2,1,1,2021,2,-0.48333333333333334
52,2,17,0,4,0,0,1,3,2020,9,14.233333333333333
51,2,9,2,2,0,3,3,2,2020,7,2.5166666666666666
19,0,27,0,4,0,0,0,5,2020,4,-6.133333333333334
38,0,15,1,8,0,2,1,2,2020,9,-5.716666666666667
65,2,30,3,3,0,0,2,3,2021,4,-7.266666666666667
42,0,36,1,14,0,3,2,4,2021,6,-2.3666666666666667
60,2,8,2,0,0,2,3,1,2021,12,-9.466666666666667
37,2,2,4,13,0,2,2,5,2020,9,-21.216666666666665
70,0,8,4,3,0,0,0,5,2021,7,-10.916666666666666
33,0,11,2,11,0,3,2,5,2021,6,11.75
66,1,5,0,0,0,0,0,4,2020,3,-9.916666666666666
33,2,12,4,0,0,2,3,1,2021,12,15.366666666666667
66,2,38,4,7,0,3,2,1,2020,11,6.216666666666667
66,2,14,1,11,0,1,0,5,2020,8,8.516666666666667
59,0,8,0,6,0,0,2,2,2021,5,0.23333333333333334
43,0,39,4,2,0,3,2,3,2021,8,3.433333333333333
40,1,4,2,11,0,1,0,5,2021,12,7.233333333333333
43,2,9,2,1,0,2,2,2,2021,9,5.433333333333334
62,2,1,4,4,0,0,0,1,2021,2,-2.8666666666666667
54,1,16,4,12,0,3,2,2,2021,4,-2.1
55,1,11,0,15,0,0,2,4,2020,3,9.466666666666667
21,0,28,2,0,0,0,0,3,2021,1,7.0
38,2,29,3,1,0,2,1,3,2020,10,-9.966666666666667
30,1,25,3,13,0,3,0,1,2020,12,-13.816666666666666
52,0,6,3,5,0,0,3,1,2021,6,18.766666666666666
48,2,37,4,0,0,3,2,2,2020,11,-4.55
32,0,27,4,10,0,3,2,3,2021,9,4.066666666666666
27,2,0,1,2,0,3,0,3,2021,4,10.433333333333334
18,1,33,3,5,0,2,1,2,2021,8,18.733333333333334
44,1,18,0,7,0,0,1,5,2021,10,-8.683333333333334
42,1,29,2,10,0,0,0,3,2020,7,2.9166666666666665
44,1,20,4,8,0,3,2,3,2020,5,7.916666666666667
20,0,39,1,2,0,1,2,5,2020,10,-3.533333333333333
46,0,9,0,10,0,1,2,1,2021,9,-11.033333333333333
44,0,35,2,8,0,2,3,4,2020,12,12.2
25,0,0,0,8,0,3,0,2,2021,5,-4.9
32,0,37,0,3,0,2,1,4,2021,5,-10.1
66,2,3,2,0,0,2,3,1,2020,12,-17.8
27,2,35,1,15,0,0,3,2,2020,9,2.6
24,1,25,3,13,0,0,0,2,2020,4,-8.066666666666666
52,1,20,3,12,0,3,2,2,2020,1,10.383333333333333
44,0,33,4,3,0,1,2,5,2020,2,1.1833333333333333
68,1,21,1,3,0,0,2,3,2020,2,-1.5833333333333333
37,1,14,4,2,0,1,2,4,2020,2,13.783333333333333
45,1,15,4,0,0,0,3,2,2021,7,9.3
64,2,8,0,7,0,2,1,4,2021,4,8.283333333333333
48,2,23,3,14,0,0,1,5,2020,4,-5.283333333333333
27,2,18,2,7,0,0,3,3,2021,11,8.833333333333334
19,0,24,2,8,0,3,2,4,2021,12,-3.433333333333333
59,0,2,4,14,0,2,1,4,2021,5,-2.5833333333333335
46,0,9,0,6,0,2,1,5,2020,1,-19.5
39,2,37,2,0,0,3,0,2,2020,11,0.18333333333333332
19,2,9,0,6,0,1,1,2,2021,6,-13.066666666666666
53,1,8,1,3,0,3,0,3,2021,8,3.2666666666666666
67,1,21,4,6,0,2,1,1,2021,4,-15.083333333333334
31,1,35,0,5,0,1,2,2,2021,3,-16.266666666666666
53,0,26,1,8,0,0,1,5,2020,7,16.516666666666666
67,1,24,3,14,0,3,3,1,2020,3,13.933333333333334
52,0,33,3,2,0,3,2,3,2020,3,12.116666666666667
43,2,28,3,15,0,1,1,1,2020,12,6.533333333333333
55,0,38,3,12,0,0,1,1,2021,4,18.383333333333333
57,2,31,4,2,0,1,3,2,2021,7,15.516666666666667
26,0,1,0,3,0,1,3,4,2021,12,1.8333333333333333
39,0,39,2,13,0,2,3,3,2020,9,-11.283333333333333
64,0,40,1,7,0,3,3,2,2020,10,-7.766666666666667
63,2,39,2,4,0,3,2,5,2020,9,-9.133333333333333
28,0,30,2,15,0,3,1,1,2021,8,13.233333333333333
20,2,14,1,14,0,3,3,3,2021,12,-8.95
53,1,29,4,5,0,0,2,5,2021,1,6.766666666666667
68,2,38,2,13,0,0,1,3,2020,1,-12.566666666666666
39,2,9,4,3,0,0,0,3,2020,5,1.1166666666666667
28,0,37,2,10,0,3,2,2,2021,1,-6.3
68,2,8,0,5,0,3,1,4,2020,1,-19.9
41,2,9,2,15,0,1,3,1,2020,11,-8.433333333333334
22,1,6,0,14,0,0,3,5,2020,4,-9.216666666666667
22,0,5,1,10,0,3,1,1,2020,3,-19.816666666666666
63,2,39,4,4,0,0,0,5,2021,7,-1.4833333333333334
37,2,12,2,14,0,1,0,2,2020,10,-14.75
69,1,10,3,6,0,1,0,3,2020,4,11.916666666666666
58,1,28,1,9,0,0,1,5,2021,10,-1.2
26,2,13,4,4,0,1,2,2,2020,12,18.55
70,2,22,2,12,0,1,1,1,2021,9,8.016666666666667
37,0,24,3,3,0,0,0,5,2021,5,-10.383333333333333
30,0,31,4,10,0,2,2,2,2020,11,-8.816666666666666
68,2,0,0,7,0,0,2,1,2020,12,2.0166666666666666
50,1,10,4,1,0,3,1,1,2020,9,18.383333333333333
29,2,22,1,4,0,1,3,2,2021,3,14.166666666666666
50,0,15,4,6,0,2,0,4,2020,5,2.5
49,2,31,1,10,0,3,0,4,2021,7,5.116666666666666
62,0,6,4,12,0,0,0,2,2020,2,-6.416666666666667
36,1,17,1,6,0,1,0,1,2020,2,-8.466666666666667
45,1,39,4,10,0,0,1,1,2020,6,2.25
67,1,17,1,14,0,0,1,4,2020,8,3.933333333333333
37,1,31,4,10,0,1,2,3,2020,2,-11.683333333333334
47,2,27,4,8,0,0,1,2,2021,2,17.916666666666668
51,2,40,1,11,0,0,2,5,2021,6,-14.6
37,0,34,2,9,0,3,2,4,2020,6,9.75
26,2,32,3,7,0,1,0,2,2020,10,20.666666666666668
47,0,36,4,13,0,0,3,1,2021,7,-4.033333333333333
25,0,38,2,2,0,3,3,5,2020,5,1.5666666666666667
37,0,21,0,12,0,3,1,1,2021,8,7.833333333333333
22,2,41,3,9,0,0,0,5,2020,9,10.3
29,0,10,2,6,0,1,0,4,2020,7,10.366666666666667
49,1,41,1,0,0,3,0,5,2020,6,6.55
27,0,8,1,11,0,0,0,5,2020,6,16.566666666666666
19,0,38,3,5,0,2,2,4,2020,9,14.966666666666667
35,2,7,3,12,0,0,2,1,2020,8,0.3
30,2,20,2,12,0,1,2,4,2021,1,-8.716666666666667
21,0,13,1,15,0,0,1,3,2020,4,13.183333333333334
46,1,34,3,12,0,0,0,1,2021,9,0.8166666666666667
57,1,18,2,10,0,1,3,3,2021,9,-4.25
28,0,37,4,10,0,1,1,2,2020,2,15.533333333333333
