Purchase Year,Purchase Recency,Ticket Subject,Ticket Type,Customer Gender,Response Duration (hrs),Duration Bucket,Ticket Channel,Customer Satisfaction Rating
0.0,0.9867258687843835,8,4,2,0.7223829924557004,4,3,3
0.0,0.9867258687843835,0,0,0,-0.5726216780085429,2,3,3
0.0,0.9867258687843835,3,0,0,2.064447052021605,5,1,1
1.0,-1.0134527041760542,3,1,1,-1.8676263484727864,1,2,1
1.0,-1.0134527041760542,15,2,1,-0.26935005935339035,3,0,1
0.0,0.9867258687843835,13,0,0,-0.7504015923925978,2,0,4
1.0,-1.0134527041760542,0,2,2,-0.3913558829502908,3,0,4
1.0,-1.0134527041760542,15,3,0,2.0679329326958023,5,0,5
0.0,0.9867258687843835,12,4,2,0.7136682907702075,4,2,5
0.0,0.9867258687843835,2,1,1,1.8343789275245932,5,2,1
1.0,-1.0134527041760542,11,4,1,0.06529448536953658,3,3,3
1.0,-1.0134527041760542,6,3,1,1.7210878056131853,5,3,5
0.0,0.9867258687843835,12,1,2,-0.799203921831358,2,0,1
1.0,-1.0134527041760542,0,4,1,-2.1761267881392348,1,2,3
1.0,-1.0134527041760542,11,0,1,-0.5900510813795287,2,0,3
1.0,-1.0134527041760542,11,3,2,-0.27109299969048894,3,1,2
0.0,0.9867258687843835,8,3,0,0.6003771688588,4,2,1
0.0,0.9867258687843835,15,4,0,-0.12817189204840557,3,3,1
0.0,0.9867258687843835,15,3,1,-0.6039946040763173,2,0,3
1.0,-1.0134527041760542,8,3,1,2.001701199886056,5,3,3
1.0,-1.0134527041760542,4,1,1,1.0273975514479516,4,0,4
0.0,0.9867258687843835,12,4,1,-0.7451727713813021,2,2,5
1.0,-1.0134527041760542,2,2,2,-2.0018327544293766,1,0,3
0.0,0.9867258687843835,13,1,1,1.2208639288658936,4,0,1
0.0,0.9867258687843835,9,0,0,1.3724997381934698,4,1,4
1.0,-1.0134527041760542,11,0,0,0.5480889587458426,4,1,5
0.0,0.9867258687843835,14,3,0,-1.3639165910512974,2,0,1
1.0,-1.0134527041760542,5,0,0,-0.12991483238550414,3,0,4
0.0,0.9867258687843835,9,1,2,-1.993118052743884,1,3,3
1.0,-1.0134527041760542,5,2,2,-1.2715407531850729,2,0,1
0.0,0.9867258687843835,4,0,0,-0.40355646530998085,3,1,5
1.0,-1.0134527041760542,15,3,1,1.565966115611412,5,3,1
0.0,0.9867258687843835,12,4,1,-1.2140237220608197,2,2,2
0.0,0.9867258687843835,12,2,1,0.41039667211505493,3,1,5
1.0,-1.0134527041760542,1,2,1,1.9424412284247048,5,0,5
0.0,0.9867258687843835,14,0,1,0.8077870689735308,4,0,5
1.0,-1.0134527041760542,1,3,0,1.2888386020127383,4,1,3
1.0,-1.0134527041760542,7,1,0,0.9611658186382055,4,1,2
0.0,0.9867258687843835,13,4,1,0.5637754217797298,4,0,4
1.0,-1.0134527041760542,10,1,0,0.9977675657172755,4,1,2
1.0,-1.0134527041760542,9,1,2,-0.5168475872213885,2,1,1
0.0,0.9867258687843835,1,1,0,-0.4523587947487411,3,1,1
1.0,-1.0134527041760542,15,1,0,-0.07239780126125107,3,1,5
0.0,0.9867258687843835,13,0,1,0.42782607548604074,3,2,5
1.0,-1.0134527041760542,15,0,0,1.0988581052689932,4,2,2
1.0,-1.0134527041760542,6,1,1,0.2448173400906901,3,1,3
0.0,0.9867258687843835,12,0,1,-0.6702263368860633,2,1,2
1.0,-1.0134527041760542,14,3,1,-1.9129427972373496,1,2,5
0.0,0.9867258687843835,13,1,1,-0.6789410385715562,2,1,2
1.0,-1.0134527041760542,8,4,2,-0.07762662227254681,3,0,4
1.0,-1.0134527041760542,11,2,1,0.748527097512179,4,0,2
1.0,-1.0134527041760542,13,1,1,-0.4209858686809666,3,1,1
0.0,0.9867258687843835,15,4,2,-1.6811317324032384,1,0,2
0.0,0.9867258687843835,11,0,0,-1.4876653549852963,1,3,3
1.0,-1.0134527041760542,7,3,2,0.5463460184087441,4,0,1
1.0,-1.0134527041760542,10,4,0,0.36856610402468915,3,1,3
0.0,0.9867258687843835,12,3,0,-0.9037803420572728,2,1,4
0.0,0.9867258687843835,13,3,0,1.3289262297660054,4,2,3
1.0,-1.0134527041760542,9,3,1,-1.1460490489139752,2,2,1
0.0,0.9867258687843835,12,1,1,-1.0623879127332436,2,2,3
1.0,-1.0134527041760542,13,0,1,0.19252912997773278,3,3,5
0.0,0.9867258687843835,1,3,0,0.3093061325633375,3,1,3
0.0,0.9867258687843835,4,4,1,-0.6597686948634718,2,0,3
0.0,0.9867258687843835,8,2,1,-0.3181523887921506,3,2,1
1.0,-1.0134527041760542,13,0,0,0.3093061325633375,3,3,4
1.0,-1.0134527041760542,4,4,2,-0.6057375444134159,2,1,4
1.0,-1.0134527041760542,4,2,0,0.5376313167232512,4,0,4
0.0,0.9867258687843835,8,0,0,0.44699841919412514,3,2,4
1.0,-1.0134527041760542,11,3,2,-0.8758932966636955,2,2,1
1.0,-1.0134527041760542,0,2,2,-2.367850225220078,1,2,1
1.0,-1.0134527041760542,9,0,1,0.8095300093106294,4,3,2
1.0,-1.0134527041760542,4,3,1,-0.44364409306324815,3,0,3
1.0,-1.0134527041760542,13,1,0,1.9180400637053245,5,0,5
0.0,0.9867258687843835,15,2,2,0.8339311740300095,4,0,5
0.0,0.9867258687843835,15,1,0,0.011263334919480665,3,2,3
0.0,0.9867258687843835,4,3,1,-0.26935005935339035,3,2,1
0.0,0.9867258687843835,4,4,2,-0.16825951980167286,3,0,1
1.0,-1.0134527041760542,14,4,0,0.11932563581959249,3,3,2
1.0,-1.0134527041760542,7,0,0,-0.8445203705959211,2,3,5
0.0,0.9867258687843835,12,4,0,-1.5085806390304792,1,0,4
1.0,-1.0134527041760542,12,0,0,1.822178345164903,5,2,4
1.0,-1.0134527041760542,6,4,1,0.2674755644729716,3,3,2
1.0,-1.0134527041760542,14,3,1,-0.7922321604829637,2,2,3
1.0,-1.0134527041760542,10,2,1,0.8199876513332208,4,3,4
1.0,-1.0134527041760542,4,4,1,-0.31118062744375624,3,3,5
1.0,-1.0134527041760542,11,0,1,1.4335026499919201,4,3,2
1.0,-1.0134527041760542,11,3,1,-0.056711338227363864,3,0,3
